"","Sıra_No","İl_Adı","İlçe_Adı","Kayıtlı_Seçmen_Sayısı","Oy_Kullanan_Seçmen_Sayısı","İtirazsız_Geçerli_Oy_Sayısı","İtirazlı_Geçerli_Oy_Sayısı","Toplam_Geçerli_Oy","Toplam_Geçersiz_Oy","DSP","TURK_PARTİ","BBP","AK_PARTİ","DP","MİLLET","SAADET","LDP","BTP","İP","HDP","CHP","MHP","BAĞIMSIZ_TOPLAM_OY","file_name","HÜDA_PAR","DYP","BDP","EMEP","HAK-PAR","YURT-P","HEPAR","TKP","ÖDP","HKP","DSP_pc","TURK_PARTİ_pc","BBP_pc","AK_PARTİ_pc","DP_pc","MİLLET_pc","SAADET_pc","LDP_pc","BTP_pc","İP_pc","HDP_pc","CHP_pc","MHP_pc","BAĞIMSIZ_TOPLAM_OY_pc","HÜDA_PAR_pc","DYP_pc","BDP_pc","EMEP_pc","HAK-PAR_pc","YURT-P_pc","HEPAR_pc","TKP_pc","ÖDP_pc","HKP_pc"
"1",1,"ADANA","ALADAĞ",12538,11897,11179,0,11179,718,0,0,13,4939,35,16,160,0,15,21,0,1566,4414,0,"adana.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.12,44.18,0.31,0.14,1.43,0,0.13,0.19,0,14.01,39.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"ADANA","CEYHAN",107840,97381,92652,0,92652,4729,294,0,298,25101,15840,92,1142,0,151,142,9062,20339,20013,178,"adana.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0,0.32,27.09,17.1,0.1,1.23,0,0.16,0.15,9.78,21.95,21.6,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"ADANA","ÇUKUROVA",249373,218855,212922,349,213271,5584,223,0,1237,48601,355,175,2403,39,261,435,3957,93297,60970,1318,"adana.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.58,22.79,0.17,0.08,1.13,0.02,0.12,0.2,1.86,43.75,28.59,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"ADANA","FEKE",13352,12415,11677,0,11677,738,13,0,27,4545,0,25,145,0,21,21,15,947,5918,0,"adana.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0,0.23,38.92,0,0.21,1.24,0,0.18,0.18,0.13,8.11,50.68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"ADANA","İMAMOĞLU",20330,18987,18003,0,18003,984,5,0,50,6110,0,0,300,0,18,21,73,1426,10000,0,"adana.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0.28,33.94,0,0,1.67,0,0.1,0.12,0.41,7.92,55.55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"ADANA","KARAİSALI",16055,15150,14503,0,14503,647,0,0,149,6504,60,6,378,0,20,13,0,829,6544,0,"adana.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.03,44.85,0.41,0.04,2.61,0,0.14,0.09,0,5.72,45.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"ADANA","KARATAŞ",16001,14864,14382,0,14382,482,0,0,712,4133,28,0,59,10,15,6,234,4927,4258,0,"adana.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4.95,28.74,0.19,0,0.41,0.07,0.1,0.04,1.63,34.26,29.61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"ADANA","KOZAN",88532,80819,77320,0,77320,3499,0,0,313,32651,0,180,1282,0,91,116,93,5449,37145,0,"adana.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.4,42.23,0,0.23,1.66,0,0.12,0.15,0.12,7.05,48.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"ADANA","POZANTI",14864,13731,13069,0,13069,662,0,0,42,4663,0,27,242,0,13,20,0,3141,4921,0,"adana.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.32,35.68,0,0.21,1.85,0,0.1,0.15,0,24.03,37.65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"ADANA","SAİMBEYLİ",11445,10303,9821,0,9821,482,0,0,21,3383,0,0,92,0,11,33,12,1198,5071,0,"adana.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.21,34.45,0,0,0.94,0,0.11,0.34,0.12,12.2,51.63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
