"","Sıra_No","İl_Adı","İlçe_Adı","Kayıtlı_Seçmen_Sayısı","Oy_Kullanan_Seçmen_Sayısı","İtirazsız_Geçerli_Oy_Sayısı","İtirazlı_Geçerli_Oy_Sayısı","Toplam_Geçerli_Oy","Toplam_Geçersiz_Oy","SAADET","BTP","TKP","VATAN_PARTİSİ","BBP","CHP","AK_PARTİ","DP","MHP","İYİ_PARTİ","HDP","DSP","BAĞIMSIZ_TOPLAM_OY","file_name","SAADET_pc","BTP_pc","TKP_pc","VATAN_PARTİSİ_pc","BBP_pc","CHP_pc","AK_PARTİ_pc","DP_pc","MHP_pc","İYİ_PARTİ_pc","HDP_pc","DSP_pc","BAĞIMSIZ_TOPLAM_OY_pc"
"1",1,"ADANA","ALADAĞ",12670,11957,11425,0,11425,532,85,35,0,0,49,0,6161,0,0,5016,0,32,47,"adana.xlsx",0.74,0.31,0,0,0.43,0,53.93,0,0,43.9,0,0.28,0.41
"2",2,"ADANA","CEYHAN",111614,96489,92555,13,92568,3921,1272,135,0,169,421,46873,43266,0,0,0,0,297,135,"adana.xlsx",1.37,0.15,0,0.18,0.45,50.64,46.74,0,0,0,0,0.32,0.15
"3",3,"ADANA","ÇUKUROVA",267788,219725,214961,0,214961,4764,4050,274,0,572,895,125467,0,3214,78194,0,0,2295,0,"adana.xlsx",1.88,0.13,0,0.27,0.42,58.37,0,1.5,36.38,0,0,1.07,0
"4",4,"ADANA","FEKE",13927,12910,11991,0,11991,919,198,128,0,51,2375,0,0,0,8141,982,0,0,116,"adana.xlsx",1.65,1.07,0,0.43,19.81,0,0,0,67.89,8.19,0,0,0.97
"5",5,"ADANA","İMAMOĞLU",20534,18624,17747,0,17747,877,228,16,0,19,42,7230,0,3307,6817,0,0,88,0,"adana.xlsx",1.28,0.09,0,0.11,0.24,40.74,0,18.63,38.41,0,0,0.5,0
"6",6,"ADANA","KARAİSALI",16709,15717,15017,0,15017,700,183,12,0,17,70,0,0,0,10498,4140,0,36,61,"adana.xlsx",1.22,0.08,0,0.11,0.47,0,0,0,69.91,27.57,0,0.24,0.41
"7",7,"ADANA","KARATAŞ",17546,15916,15356,0,15356,560,97,10,0,11,75,6986,0,255,7881,0,0,41,0,"adana.xlsx",0.63,0.07,0,0.07,0.49,45.49,0,1.66,51.32,0,0,0.27,0
"8",8,"ADANA","KOZAN",93515,82776,78488,0,78488,4288,20249,379,0,267,7370,0,0,312,31385,18090,210,226,0,"adana.xlsx",25.8,0.48,0,0.34,9.39,0,0,0.4,39.99,23.05,0.27,0.29,0
"9",9,"ADANA","POZANTI",15496,13544,12884,0,12884,660,167,268,0,14,25,3394,0,0,5595,311,22,54,3034,"adana.xlsx",1.3,2.08,0,0.11,0.19,26.34,0,0,43.43,2.41,0.17,0.42,23.55
"10",10,"ADANA","SAİMBEYLİ",11667,10448,9828,0,9828,620,104,69,0,44,1923,0,0,0,5971,1690,0,27,0,"adana.xlsx",1.06,0.7,0,0.45,19.57,0,0,0,60.75,17.2,0,0.27,0
"11",11,"ADANA","SARIÇAM",113127,97094,93310,0,93310,3784,984,131,178,219,417,0,0,0,57503,30702,1388,1788,0,"adana.xlsx",1.05,0.14,0.19,0.23,0.45,0,0,0,61.63,32.9,1.49,1.92,0
"12",12,"ADANA","SEYHAN",542125,434518,419526,0,419526,14992,5405,599,745,715,2966,242618,160955,1269,0,0,0,4254,0,"adana.xlsx",1.29,0.14,0.18,0.17,0.71,57.83,38.37,0.3,0,0,0,1.01,0
"13",13,"ADANA","TUFANBEYLİ",13083,11864,11140,0,11140,724,55,20,0,27,61,5465,5499,0,0,0,0,13,0,"adana.xlsx",0.49,0.18,0,0.24,0.55,49.06,49.36,0,0,0,0,0.12,0
"14",14,"ADANA","YUMURTALIK",14343,13114,12595,0,12595,519,87,5,0,6,41,5693,0,61,6244,451,0,7,0,"adana.xlsx",0.69,0.04,0,0.05,0.33,45.2,0,0.48,49.58,3.58,0,0.06,0
"15",15,"ADANA","YÜREĞİR",272364,221930,210739,1345,212084,9846,4447,344,0,417,1330,100714,104125,0,0,0,0,707,0,"adana.xlsx",2.1,0.16,0,0.2,0.63,47.49,49.1,0,0,0,0,0.33,0
"16",1,"ADIYAMAN","ADIYAMAN MERKEZ",159663,128635,123641,0,123641,4994,34766,256,268,172,NA,0,65805,0,6720,14678,0,331,645,"adiyaman.xlsx",28.12,0.21,0.22,0.14,NA,0,53.22,0,5.44,11.87,0,0.27,0.52
"17",2,"ADIYAMAN","ADIYAMAN MERKEZ - KÖMÜR",2415,2218,2165,2,2167,51,0,0,308,0,NA,639,506,0,17,0,697,0,0,"adiyaman.xlsx",0,0,14.21,0,NA,29.49,23.35,0,0.78,0,32.16,0,0
"18",3,"ADIYAMAN","ADIYAMAN MERKEZ - YAYLAKONAK",1571,1520,1496,0,1496,24,8,0,0,0,NA,818,470,0,2,0,0,198,0,"adiyaman.xlsx",0.53,0,0,0,NA,54.68,31.42,0,0.13,0,0,13.24,0
"19",4,"ADIYAMAN","BESNİ",21842,18496,17689,0,17689,807,5545,39,0,0,NA,3899,7958,0,186,0,0,0,62,"adiyaman.xlsx",31.35,0.22,0,0,NA,22.04,44.99,0,1.05,0,0,0,0.35
"20",5,"ADIYAMAN","BESNİ - ÇAKIRHÜYÜK",1280,1223,1170,0,1170,53,84,0,0,0,NA,31,511,0,530,0,14,0,0,"adiyaman.xlsx",7.18,0,0,0,NA,2.65,43.68,0,45.3,0,1.2,0,0
"21",6,"ADIYAMAN","BESNİ - KESMETEPE",1205,1138,1110,0,1110,28,3,0,0,0,NA,281,167,281,136,0,0,242,0,"adiyaman.xlsx",0.27,0,0,0,NA,25.32,15.05,25.32,12.25,0,0,21.8,0
"22",7,"ADIYAMAN","BESNİ - KÖSECELİ",1374,1354,1279,0,1279,75,428,0,0,0,NA,382,466,0,3,0,0,0,0,"adiyaman.xlsx",33.46,0,0,0,NA,29.87,36.43,0,0.23,0,0,0,0
"23",8,"ADIYAMAN","BESNİ - SUVARLI",1962,1848,1675,0,1675,173,0,0,0,0,NA,0,769,0,26,880,0,0,0,"adiyaman.xlsx",0,0,0,0,NA,0,45.91,0,1.55,52.54,0,0,0
"24",9,"ADIYAMAN","BESNİ - ŞAMBAYAT",2737,2531,2397,0,2397,134,23,0,0,0,NA,1406,944,0,24,0,0,0,0,"adiyaman.xlsx",0.96,0,0,0,NA,58.66,39.38,0,1,0,0,0,0
